,cik,Ticker,fy,fp,date,filed,ddate,Assets,AssetsCurrent,Cash,AssetsNoncurrent,Liabilities,LiabilitiesCurrent,LiabilitiesNoncurrent,Equity,HolderEquity,RetainedEarnings,AdditionalPaidInCapital,TreasuryStockValue,TemporaryEquity,RedeemableEquity,LiabilitiesAndEquity,n_cik_bs,Revenues,CostOfRevenue,GrossProfit,OperatingExpenses,OperatingIncomeLoss,IncomeLossFromContinuingOperationsBeforeIncomeTaxExpenseBenefit,AllIncomeTaxExpenseBenefit,IncomeLossFromContinuingOperations,IncomeLossFromDiscontinuedOperationsNetOfTax,ProfitLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLoss,n_cik_is,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,EffectOfExchangeRateFinal,CashPeriodIncreaseDecreaseIncludingExRateEffectFinal,n_cik,sic,stprba,countryinc,afs,nciks
88,1800,ABBOTT LABORATORIES,2017,Q3,2017-09-30,20171102,20170930,72248000000,21377000000,11012000000,50871000000,40030000000,7935000000,23310000000,32218000000,32218000000,25320000000,0,0,0,0,72248000000,60,19801000000,9074000000,10727000000,9692000000,1035000000,1657000000,440000000,1217000000,88000000,1305000000,0,1305000000,60,3930000000,-5169000000,-6466000000,3930000000,-5169000000,-6466000000,0,0,0,97000000,-7608000000,60,,,,,
89,1800,ABBOTT LABORATORIES,2017,FY,2017-12-31,20180216,20171231,76250000000,20147000000,9407000000,56103000000,45152000000,8912000000,36240000000,31098000000,31098000000,23978000000,0,0,0,0,76250000000,60,27390000000,12337000000,15053000000,13327000000,1726000000,2231000000,1878000000,353000000,124000000,477000000,0,477000000,60,5570000000,-5281000000,-9618000000,5570000000,-5281000000,-9618000000,0,0,0,116000000,-9213000000,60,2834,IL,US,1-LAF,1
90,1800,ABBOTT LABORATORIES,2018,Q1,2018-03-31,20180502,20180331,70908000000,14964000000,3857000000,55944000000,39307000000,9010000000,21154000000,31601000000,31601000000,23856000000,0,0,0,0,70908000000,60,7390000000,3067000000,4323000000,3715000000,608000000,431000000,22000000,409000000,0,409000000,-9000000,418000000,60,1108000000,-6455000000,-238000000,1108000000,-6455000000,-238000000,0,0,0,35000000,-5550000000,60,2834,IL,US,1-LAF,1
91,1800,ABBOTT LABORATORIES,2018,Q2,2018-06-30,20180801,20180630,68415000000,14122000000,3065000000,54293000000,37641000000,8951000000,19823000000,30774000000,30774000000,24080000000,0,0,0,0,68415000000,60,15157000000,6349000000,8808000000,7318000000,1490000000,1208000000,81000000,1127000000,24000000,1151000000,0,1151000000,60,2352000000,-8086000000,-537000000,2352000000,-8086000000,-537000000,0,0,0,-71000000,-6342000000,60,2834,IL,US,1-LAF,1
92,1800,ABBOTT LABORATORIES,2018,Q3,2018-09-30,20181031,20180930,71637000000,18196000000,7369000000,53441000000,40739000000,12776000000,19284000000,30898000000,30898000000,24144000000,0,0,0,0,71637000000,60,22813000000,9515000000,13298000000,10813000000,2485000000,1926000000,247000000,1679000000,35000000,1714000000,0,1714000000,60,4535000000,-5615000000,-860000000,4535000000,-5615000000,-860000000,0,0,0,-98000000,-2038000000,60,2834,IL,US,1-LAF,1
93,1800,ABBOTT LABORATORIES,2018,FY,2018-12-31,20190222,20181231,67173000000,14632000000,3844000000,52541000000,36451000000,9012000000,19359000000,30722000000,30722000000,24560000000,0,0,0,0,67173000000,60,30578000000,12706000000,17872000000,14222000000,3650000000,2873000000,539000000,2334000000,34000000,2368000000,0,2368000000,60,6300000000,-10391000000,-1356000000,6300000000,-10391000000,-1356000000,0,0,0,-116000000,-5563000000,60,2834,IL,US,1-LAF,1
94,1800,ABBOTT LABORATORIES,2019,Q1,2019-03-31,20190501,20190331,67610000000,14409000000,3022000000,53201000000,36481000000,9113000000,18845000000,31129000000,31129000000,24613000000,0,0,0,0,67610000000,60,7535000000,3160000000,4375000000,3636000000,739000000,632000000,-40000000,672000000,0,672000000,0,672000000,60,712000000,-1142000000,-396000000,712000000,-1142000000,-396000000,0,0,0,4000000,-822000000,60,2834,IL,US,1-LAF,1
95,1800,ABBOTT LABORATORIES,2019,Q2,2019-06-30,20190731,20190630,68427000000,15195000000,3137000000,53232000000,36533000000,9062000000,18982000000,31894000000,31894000000,25045000000,0,0,0,0,68427000000,60,15514000000,6439000000,9075000000,7130000000,1945000000,1734000000,56000000,1678000000,0,1678000000,0,1678000000,60,1772000000,-1591000000,-894000000,1772000000,-1591000000,-894000000,0,0,0,6000000,-707000000,60,2834,IL,US,1-LAF,1
96,1800,ABBOTT LABORATORIES,2019,Q3,2019-09-30,20191031,20190930,68539000000,16119000000,4091000000,52420000000,36520000000,10491000000,17639000000,32019000000,32019000000,25440000000,0,0,0,0,68539000000,60,23590000000,9797000000,13793000000,10650000000,3143000000,2837000000,199000000,2638000000,0,2638000000,0,2638000000,60,3720000000,-2104000000,-1326000000,3720000000,-2104000000,-1326000000,0,0,0,-43000000,247000000,60,2834,IL,US,1-LAF,1
97,1800,ABBOTT LABORATORIES,2019,FY,2019-12-31,20200221,20191231,67887000000,15667000000,3860000000,52220000000,36586000000,10863000000,16661000000,31301000000,31301000000,25847000000,0,0,0,0,67887000000,60,31904000000,13231000000,18673000000,14141000000,4532000000,4077000000,390000000,3687000000,0,3687000000,0,3687000000,60,6136000000,-4289000000,-1815000000,6136000000,-4289000000,-1815000000,0,0,0,-16000000,16000000,60,2834,IL,US,1-LAF,1
